Unnamed: 0,primaryLanguage,nameWithOwner,owner,Related issues,repo_name,issue_file,Additional context,Steps to reproduce,Expected/Actual behavior,Type,Screenshot,Log,Summary,Severity,Environment,Documentation and Testing,repo_name.1,issue_file.1,Supporting Information,Issue/Problem Description,Proposed Solutions and Suggestions,References,Impact Assessment,Submission Guidelines and Formatting,Collaboration and Review,Debugging Information,Greeting and Introduction
444,Jupyter Notebook,tensorflow/models,tensorflow,0.1227191388607025,tensorflow/models,00-official-bug-report-issue.md,0.1671855449676513,0.2741307020187378,0.1088051721453666,0.0669669061899185,0.0395035073161125,0.0526296906173229,0.0661823004484176,0.0354373902082443,0.0664397329092025,0.0605775229632854,tensorflow/models,00-official-bug-report-issue.md,0.2187323868274688,0.1410003304481506,0.0761480703949928,0.1063505858182907,0.0531231202185153,0.1213897392153739,0.0552889481186866,0.1230471134185791,0.0443421676754951
445,Jupyter Notebook,tensorflow/models,tensorflow,0.1436011344194412,tensorflow/models,10-official-documentation-issue.md,0.2386994063854217,0.1966665238142013,0.0358345508575439,0.1133375391364097,0.0461143814027309,0.0559898130595684,0.1063376739621162,0.0325798913836479,0.030839079990983,0.0589847788214683,tensorflow/models,10-official-documentation-issue.md,0.2076171189546585,0.3219839930534363,0.0850268676877021,0.0963936895132064,0.0285896621644496,0.0820521339774131,0.0405803546309471,0.0347533039748668,0.0440180860459804
446,Jupyter Notebook,tensorflow/models,tensorflow,0.1749947816133499,tensorflow/models,20-official-feature-request-issue.md,0.2994467318058014,0.1797687262296676,0.0355907194316387,0.0992131233215332,0.0248291734606027,0.0513418987393379,0.0710173174738884,0.0282618124037981,0.0355357453227043,0.0575868524610996,tensorflow/models,20-official-feature-request-issue.md,0.2330829799175262,0.1602276712656021,0.1281262636184692,0.1327815353870391,0.0412492491304874,0.1016565635800361,0.0427913032472133,0.0417523719370365,0.0607451647520065
447,Jupyter Notebook,tensorflow/models,tensorflow,0.1231537982821464,tensorflow/models,30-research-bug-report-issue.md,0.1732872873544693,0.274983674287796,0.1103122606873512,0.0652710497379303,0.0382832400500774,0.0512507259845733,0.0638007819652557,0.0343566797673702,0.0653005763888359,0.0602467767894268,tensorflow/models,30-research-bug-report-issue.md,0.2212632894515991,0.1411893814802169,0.0757101103663444,0.1054391637444496,0.0530088990926742,0.1203753277659416,0.0557000748813152,0.1230226829648017,0.0440443865954875
448,Jupyter Notebook,tensorflow/models,tensorflow,0.1282660812139511,tensorflow/models,40-research-documentation-issue.md,0.2395561784505844,0.1950944662094116,0.0360965505242347,0.1246866285800933,0.0481289513409137,0.0583636164665222,0.1067232191562652,0.0330234542489051,0.0300608929246664,0.063036635518074,tensorflow/models,40-research-documentation-issue.md,0.1995557099580764,0.3237400352954864,0.084632895886898,0.0931702926754951,0.0290101245045661,0.0851820483803749,0.0400203354656696,0.0344648137688636,0.0471871681511402
449,Jupyter Notebook,tensorflow/models,tensorflow,0.1655398905277252,tensorflow/models,50-research-feature-request-issue.md,0.303707093000412,0.177252322435379,0.0348178409039974,0.1085243076086044,0.0258637107908725,0.0516897067427635,0.0698892846703529,0.0281924363225698,0.034523420035839,0.0603072866797447,tensorflow/models,50-research-feature-request-issue.md,0.2251709848642349,0.1625197976827621,0.126849815249443,0.1293394416570663,0.0415859706699848,0.1068647056818008,0.0443793050944805,0.0416951030492782,0.0612876750528812
450,Jupyter Notebook,tensorflow/models,tensorflow,0.4937747418880462,tensorflow/models,60-questions-help-issue.md,0.0980671122670173,0.0335883758962154,0.0274657644331455,0.0900082513689994,0.038294244557619,0.042246539145708,0.0985344797372818,0.0522116869688034,0.0258088279515504,0.0504143871366977,tensorflow/models,60-questions-help-issue.md,0.245990365743637,0.1193737015128135,0.1194546073675155,0.0865826308727264,0.0978829935193061,0.0525279715657234,0.0939615964889526,0.0708470493555069,0.0629647374153137
1189529,Jupyter Notebook,microsoft/ML-For-Beginners,microsoft,0.0787623152136802,microsoft/ML-For-Beginners,bug_report.md,0.0750086680054664,0.4605333805084228,0.1053615882992744,0.0427800193428993,0.1418565660715103,0.025737527757883,0.0287884753197431,0.0212591905146837,0.0199124608188867,0.0808601155877113,microsoft/ML-For-Beginners,bug_report.md,0.2122444063425064,0.224026083946228,0.0781179070472717,0.062387466430664,0.0708600953221321,0.0760117694735527,0.0894363522529602,0.0649818629026413,0.0410738959908485
1189530,Jupyter Notebook,microsoft/ML-For-Beginners,microsoft,0.5149273872375488,microsoft/ML-For-Beginners,feature_request.md,0.1454652696847915,0.0450769811868667,0.0258061606436967,0.1055644750595092,0.06195804849267,0.0217847153544425,0.0470670498907566,0.0179259199649095,0.0144239729270339,0.0442224256694316,microsoft/ML-For-Beginners,feature_request.md,0.2547121047973633,0.2337158918380737,0.1453669518232345,0.1169951856136322,0.0335120558738708,0.0495661906898021,0.0389436334371566,0.0382962822914123,0.044669222086668
1189531,Jupyter Notebook,microsoft/ML-For-Beginners,microsoft,0.1894584596157074,microsoft/ML-For-Beginners,translations-checklist.md,0.1695335358381271,0.090347908437252,0.0854073092341423,0.1114650443196296,0.0738028585910797,0.0687136203050613,0.0888571515679359,0.0461210869252681,0.0762929767370224,0.0495713353157043,microsoft/ML-For-Beginners,translations-checklist.md,0.2925612330436706,0.0701640248298645,0.059547197073698,0.1219710707664489,0.0350371226668357,0.0509644038975238,0.0593521334230899,0.0391726233065128,0.221658855676651
