Unnamed: 0,primaryLanguage,nameWithOwner,owner,Related issues,repo_name,issue_file,Additional context,Steps to reproduce,Expected/Actual behavior,Type,Screenshot,Log,Summary,Severity,Environment,Documentation and Testing,repo_name.1,issue_file.1,Supporting Information,Issue/Problem Description,Proposed Solutions and Suggestions,References,Impact Assessment,Submission Guidelines and Formatting,Collaboration and Review,Debugging Information,Greeting and Introduction
2085092,Swift,Alamofire/Alamofire,Alamofire,0.1207935288548469,Alamofire/Alamofire,bug_report.md,0.1051861643791198,0.0946026742458343,0.159439280629158,0.0191135872155427,0.0128501513972878,0.0162750724703073,0.0289812348783016,0.0096406042575836,0.4331177473068237,0.0596401840448379,Alamofire/Alamofire,bug_report.md,0.1822303682565689,0.1767420321702957,0.0952688530087471,0.101249374449253,0.0430566109716892,0.1717476397752761,0.0556347966194152,0.0567807964980602,0.0576493740081787
2085093,Swift,Alamofire/Alamofire,Alamofire,0.1856344491243362,Alamofire/Alamofire,feature_request.md,0.2300187051296234,0.1278101503849029,0.0822825282812118,0.0884496942162513,0.0322488956153392,0.048020452260971,0.1570387631654739,0.0242986362427473,0.0241976920515298,0.0553637221455574,Alamofire/Alamofire,feature_request.md,0.1478736847639084,0.171611487865448,0.1282664835453033,0.1121604740619659,0.0557571612298488,0.1674083918333053,0.0510654337704181,0.0542074628174304,0.0562856793403625
11472407,Swift,Juanpe/SkeletonView,Juanpe,0.3031699955463409,Juanpe/SkeletonView,feedback.md,0.3295294344425201,0.0725072994828224,0.0368209183216095,0.0232462659478187,0.0538625158369541,0.0693158507347107,0.0686983168125152,0.0260099042207002,0.0168394148349761,0.0314212813973426,Juanpe/SkeletonView,feedback.md,0.3096127510070801,0.0880732536315918,0.2032946199178695,0.0545807592570781,0.0473280251026153,0.0349422246217727,0.1660201847553253,0.0362963266670703,0.0284304711967706
11472408,Swift,Juanpe/SkeletonView,Juanpe,0.028758542612195,Juanpe/SkeletonView,submit-a-request.md,0.4165573120117187,0.1628291606903076,0.0218507461249828,0.0553405135869979,0.075129397213459,0.0730802863836288,0.1054336205124855,0.0262923873960971,0.0347280725836753,0.0140610113739967,Juanpe/SkeletonView,submit-a-request.md,0.3930943012237549,0.4328041970729828,0.071491964161396,0.0206960905343294,0.0147403003647923,0.0109531497582793,0.0160949435085058,0.0095832757651805,0.0164808314293622
11472411,Swift,mozilla-mobile/firefox-ios,mozilla-mobile,0.0247599072754383,mozilla-mobile/firefox-ios,---bug-report.md,0.0338950753211975,0.3565369248390198,0.5083134174346924,0.011585789732635,0.0430825985968112,0.0047682016156613,0.0102504380047321,0.0043965559452772,0.0024110460653901,0.1713449209928512,mozilla-mobile/firefox-ios,---bug-report.md,0.5931553244590759,0.0206120088696479,0.0558508075773716,0.0611416287720203,0.0135133303701877,0.0091996062546968,0.0426807701587677,0.0124438358470797,0.0200578495860099
11472412,Swift,mozilla-mobile/firefox-ios,mozilla-mobile,0.0338519178330898,mozilla-mobile/firefox-ios,---crash-report.md,0.0304258111864328,0.2380215674638748,0.5582687258720398,0.0215996652841568,0.009530235081911,0.075792908668518,0.0136189274489879,0.0131519082933664,0.0057384008541703,0.112108789384365,mozilla-mobile/firefox-ios,---crash-report.md,0.2665157914161682,0.0489944331347942,0.0761670172214508,0.0946680903434753,0.0291734915226697,0.0193121843039989,0.0595255903899669,0.2761906385421753,0.0173439644277095
11472413,Swift,mozilla-mobile/firefox-ios,mozilla-mobile,0.0964728817343711,mozilla-mobile/firefox-ios,---feature.md,0.2498916238546371,0.1264027506113052,0.0414486974477767,0.0934542119503021,0.0568233132362365,0.0830822363495826,0.152603417634964,0.0623817928135395,0.0374390557408332,0.0213937703520059,mozilla-mobile/firefox-ios,---feature.md,0.2338647991418838,0.1824198365211486,0.3731419742107391,0.0641821324825286,0.0227728188037872,0.0133710270747542,0.0329176373779773,0.0196286663413047,0.0363073572516441
11472414,Swift,mozilla-mobile/firefox-ios,mozilla-mobile,0.2313674092292785,mozilla-mobile/firefox-ios,---intermittent-ui-issue.md,0.3855046927928924,0.0875397250056266,0.0582795850932598,0.0526489242911338,0.0620486177504062,0.0498093739151954,0.0404824651777744,0.0155499940738081,0.0167692564427852,0.1348500698804855,mozilla-mobile/firefox-ios,---intermittent-ui-issue.md,0.198916956782341,0.2365306764841079,0.0131942192092537,0.036063265055418,0.0166726689785718,0.0055251051671803,0.0126121994107961,0.3408503532409668,0.0047844285145401
11472415,Swift,mozilla-mobile/firefox-ios,mozilla-mobile,0.2149489074945449,mozilla-mobile/firefox-ios,new-issue.md,0.1237918213009834,0.0668240338563919,0.0918726697564125,0.0670618414878845,0.0542090274393558,0.0819504633545875,0.1290248483419418,0.0931066274642944,0.077209748327732,0.0334303267300128,mozilla-mobile/firefox-ios,new-issue.md,0.1751947700977325,0.1353882849216461,0.0615760907530784,0.061401754617691,0.0986599773168563,0.0308719109743833,0.0697643086314201,0.0929738506674766,0.2407387346029281
11472416,Swift,mozilla-mobile/firefox-ios,mozilla-mobile,0.3322409987449646,mozilla-mobile/firefox-ios,release_checklist_template.md,0.1787533462047577,0.0907491520047187,0.0590464808046817,0.0808394327759742,0.0628827810287475,0.0628502443432807,0.059882141649723,0.0404505133628845,0.0323048643767833,0.0823218524456024,mozilla-mobile/firefox-ios,release_checklist_template.md,0.2611907124519348,0.0643682926893234,0.122170053422451,0.0921373516321182,0.0756318792700767,0.0614116564393043,0.1034206226468086,0.0814287513494491,0.0559189394116401
11472421,Swift,daltoniam/Starscream,daltoniam,0.0436734072864055,daltoniam/Starscream,general-question.md,0.0593329966068267,0.0167456641793251,0.0093505438417196,0.0366180725395679,0.0120173767209053,0.0180699080228805,0.0154646150767803,0.0121597433462738,0.7765676379203796,0.0671614482998848,daltoniam/Starscream,general-question.md,0.2481960654258728,0.1712060123682022,0.0665729418396949,0.1258414089679718,0.0642593428492546,0.0645423382520675,0.0704519152641296,0.0800818353891372,0.0416867323219776
11472422,Swift,Lona/Lona,Lona,0.4784650802612304,Lona/Lona,bug-report.md,0.1573769152164459,0.0468158423900604,0.1248805075883865,0.0512343756854534,0.0239828247576951,0.0318117290735244,0.0467675365507602,0.0186927430331707,0.0199724808335304,0.0462079532444477,Lona/Lona,bug-report.md,0.2640837132930755,0.0851164534687995,0.179759606719017,0.1353027671575546,0.0390031635761261,0.0348560996353626,0.1117356792092323,0.0652832314372062,0.038651268929243
11472423,Swift,Lona/Lona,Lona,0.0336412116885185,Lona/Lona,feature-request.md,0.4138062000274658,0.0395202711224556,0.0096253054216504,0.0269465763121843,0.0148099800571799,0.017261553555727,0.4285576641559601,0.0088187232613563,0.0070125586353242,0.0224538836628198,Lona/Lona,feature-request.md,0.3038881123065948,0.0641744509339332,0.0570268668234348,0.3949607312679291,0.0224204622209072,0.0218886695802211,0.0289212260395288,0.0210911910980939,0.0631743371486663
11472426,Swift,lwouis/alt-tab-macos,lwouis,0.635958194732666,lwouis/alt-tab-macos,feature-suggestion.md,0.111344426870346,0.0377010181546211,0.0223613418638706,0.0743376463651657,0.0151330530643463,0.0235344767570495,0.0486746616661548,0.0187251362949609,0.012230098247528,0.0380952507257461,lwouis/alt-tab-macos,feature-suggestion.md,0.1624736785888672,0.221715360879898,0.3173636496067047,0.1023590937256813,0.0332079343497753,0.0272769648581743,0.0400240160524845,0.0282323751598596,0.0292517021298408
